note,id,type,section_id,scene_id,level,section,name,desc,section_hero,pre_scene,exp_scene,init_id,start_story_id,pass_story_id,monster_id,quest_id,reward_first_id,reward_id,ask_power,ask_level,ask_energy,ask_money,ask_rmb,ask_count,ask_time,begin_time,end_time
注释,参数id,地图类型（1:普通 2:精英  3:地狱 4:擂台 5:天梯 6:团战 7:急行战 8:兵临城下）,章节版本,场景id,难度,章节名称,关卡名称,关卡介绍,章节展示形象,前置关卡,额外关卡(地狱难度 填参数Id),初始表id,开始剧情id,通关剧情id,摆放表id,任务表id(;分割 区域任务第1 星级任务第2-4),首次奖励表id,奖励表id,战力限制,等级限制,体力要求,金币要求,元宝要求,次数上限(;分割)(顺序从0开始),时间限制,开始日期(没有限制留空),结束日期(没有限制留空)
string,number,number,number,number,number,string,string,string,number,number,number,number,number,number,number,string,number,number,number,number,number,number,number,string,number,string,string
,101,7,0,10002,1,活动,急行战,尽快击杀BOSS,60000001,-1,-1,1001,-1,-1,-1,101,1001,1001,-1,-1,-1,-1,-1,10,-1,,
,102,7,0,10002,2,活动,急行战,尽快击杀BOSS,60000001,-1,-1,1001,-1,-1,-1,101,1001,1001,-1,-1,-1,-1,-1,10,-1,,
,103,7,0,10002,3,活动,急行战,尽快击杀BOSS,60000001,-1,-1,1001,-1,-1,-1,101,1001,1001,-1,-1,-1,-1,-1,10,-1,,
,104,8,0,10001,1,活动,兵临城下,守住50波,60000001,-1,-1,1001,-1,-1,-1,102,1001,1001,-1,-1,-1,-1,-1,10,-1,,
##测试##,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,80001,1,1,8001,1,测试关1,张角测试,,60000001,-1,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,10,-1,,
#,80002,1,1,8002,1,测试关2,测试关2,,60000001,-1,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,10,-1,,
##第一章##,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90001,1,1,1001,1,黄巾乱,牛刀小试,主角同情百姓，加入黄巾军一起对抗官兵；,60000001,-1,-1,1004,1001001,1001101,0,10001,1101,1001,-1,-1,-1,-1,-1,-1,-1,,
,90002,1,1,1002,1,黄巾乱,大军压境,黄埔嵩来犯，主角同张曼成一起击退黄埔嵩；,60000001,1001,-1,1007,1002001,-1,-1,10002,1102,1002,-1,-1,-1,-1,-1,-1,-1,,
,90003,2,1,1003,1,黄巾乱,直捣黄巢,看不惯张曼成草菅人命，主角协同董卓攻破城门，击杀张曼成；,60000001,1002,-1,1005,1003001,1003301,-1,10003;10004;10005;10006,1103,1003,-1,-1,-1,-1,-1,-1,-1,,
,90004,1,1,1004,1,黄巾乱,十月围城,张梁为张曼成报仇来犯，主角守住城池，同华雄一起击杀张梁；,60000001,1003,-1,1005,1004001,-1,-1,10007,1104,1004,-1,-1,-1,-1,-1,-1,-1,,
,90005,1,1,1005,1,黄巾乱,华雄不服,张宝使用邪术，导致很多百姓无辜死亡；主角决定前往阻止；,60000001,1004,-1,1005,1005001,1005101,-1,10008,1105,1005,-1,-1,-1,-1,-1,-1,-1,,
,90006,2,1,1006,1,黄巾乱,大战良师,主角为消除邪术找到张角，通过阵法后和张角激战一场，最终说服了张角,60000001,1005,-1,1006,1006001,1006301,-1,10009;10010;10011;10012,1106,1006,-1,-1,-1,-1,-1,-1,-1,,
##第二章##,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90007,1,2,1007,1,长安劫,卸巾归田,张角归顺后，黄巾军散掉，主角护送黄巾军归田；,60000002,1006,-1,1001,1007001,1007101,-1,10013,2101,2001,-1,-1,-1,-1,-1,-1,-1,,
,90008,2,2,1008,1,长安劫,意外之变,卢植不想放过黄巾军，主角与其大打出手，过程中惨遭十常侍派来的刺客刺杀,60000002,1007,90009,1001,1008001,1008401,-1,10014;10015;10016;10017,2102,2002,-1,-1,-1,-1,-1,-1,-1,,
,90009,3,2,1008,2,长安劫（地狱模式）,意外之变,卢植不想放过黄巾军，主角与其大打出手，过程中惨遭十常侍派来的刺客刺杀,60000002,1008,-1,1001,1008001,1008401,-1,10014;10015;10016;10017,2102,2002,-1,-1,-1,-1,-1,-1,-1,,
,90010,1,2,1009,1,长安劫,安全离开,卢植决定先回到安全的地方，主角护送其离开；,60000002,1008,-1,1001,1009001,1009101,-1,10018,2103,2003,-1,-1,-1,-1,-1,-1,-1,,
,90011,1,2,1010,1,长安劫,探查线索,组织发来口信要求击杀十常侍，主角前往击杀十常侍小兵，过程顺利；,60000002,1009,-1,1001,1010001,1010201,-1,10019,2104,2004,-1,-1,-1,-1,-1,-1,-1,,
,90012,1,2,1011,1,长安劫,初探皇宫,主角同袁绍、何进一起击杀十常侍，反中奸计，何进死，袁绍逃，主角身陷囹圄,60000002,1010,90013,1001,1011001,1011201,-1,10020;10021;10022;10023,2105,2005,-1,-1,-1,-1,-1,-1,-1,,
,90013,1,2,1011,2,长安劫（地狱模式）,初探皇宫,主角同袁绍、何进一起击杀十常侍，反中奸计，何进死，袁绍逃，主角身陷囹圄,60000002,1011,-1,1001,-1,-1,-1,10001,2105,2005,-1,-1,-1,-1,-1,-1,-1,,
,90014,1,2,1012,1,长安劫,身陷迷阵,袁绍放出消息后，董卓前来护送皇帝，曹操前来击杀十常侍，主角与其一起击杀；,60000002,1011,-1,1003,1012001,-1,-1,10024,2106,2006,-1,-1,-1,-1,-1,-1,-1,,
,90015,1,2,1013,1,长安劫,孤胆英雄,曹操得知天子消息后匆忙离开，剩下主角一个人击杀十常侍；,60000002,1012,-1,1001,1013001,-1,-1,10025,2107,2007,-1,-1,-1,-1,-1,-1,-1,,
,90016,2,2,1014,1,长安劫,火烧长安,主角击杀剩余十常侍，发现黑衣人放火烧皇宫，主角一边救火一边击杀黑衣人；,60000002,1013,90017,1001,-1,-1,-1,10026;10027;10028;10029,2108,2008,-1,-1,-1,-1,-1,-1,-1,,
,90017,1,2,1014,2,长安劫（地狱模式）,火烧长安,主角击杀剩余十常侍，发现黑衣人放火烧皇宫，主角一边救火一边击杀黑衣人；,60000002,1013,-1,1001,-1,-1,-1,10001,2108,2008,-1,-1,-1,-1,-1,-1,-1,,
##第三章##,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90018,1,3,1015,1,虎牢关,分道扬镳,六道组织分道扬镳，主角同刘备一起救援平民；,60000003,1014,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90019,1,3,1016,1,虎牢关,群雄聚集,董卓在洛阳施暴，主角前往寻黑衣人，遭遇袁术手下阻挠；,60000003,1015,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90020,1,3,1017,1,虎牢关,各怀鬼胎,各路诸侯都不愿意主动杀敌，同时又担心主角抢了风头；纷纷派手下阻挠主角,60000003,1016,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90021,1,3,1018,1,虎牢关,一骑绝尘,主角身先士卒，击退胡轸、徐荣；,60000003,1017,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90022,1,3,1019,1,虎牢关,温酒斩将,与华雄理念不同，主角同关羽痛下杀手（温酒斩华雄）,60000003,1018,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90023,1,3,1020,1,虎牢关,智破机关,华雄败后，董卓派李儒前来设下阵法，主角奋力破解机关；,60000003,1019,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90024,1,3,1021,1,虎牢关,粮草告急,袁术作乱，将粮饷运走；主角无奈，想办法去收集粮草；,60000003,1020,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90025,1,3,1022,1,虎牢关,仨战吕布,主角先战张辽，后同刘备张飞战吕布；最终击败了吕布，攻破了虎牢关；,60000003,1021,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
##第四章##,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90026,1,4,1023,1,诛董卓,初入洛阳,进入洛阳，教训散兵游勇地痞流氓，追问对百姓动手缘由。,60000004,1022,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90027,1,4,1024,1,诛董卓,英雄救美,遇到蔡文姬被士兵困住，解救并护送蔡文姬离开。,60000004,1023,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90028,1,4,1025,1,诛董卓,枯井藏宝,蔡文姬告知主角组织得到玉玺的消息（被藏于洛阳某处），抓些散兵头领问问。,60000004,1024,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90029,1,4,1026,1,诛董卓,传国玉玺,玉玺被左慈获得，遂找到左慈展开战斗，左慈释放玉玺的神秘力量（强化小兵能力），使得主角难以击退，幸得孙坚相助，击败左慈，获得玉玺,60000004,1025,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90030,1,4,1027,1,诛董卓,江东猛虎,孙坚拿到玉玺被迷惑心智，独占玉玺，其部下拼死护着，一场恶战无法回避。,60000004,1026,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90031,1,4,1028,1,诛董卓,联盟分裂,联盟分裂，黄巾余孽又蠢蠢欲动，找出左慈击败他；击败后，张飞来告知武将首领相约宫中一聚。,60000004,1027,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90032,1,4,1029,1,诛董卓,深入敌后,主角按照约定潜进宫殿，完成刺杀任务,60000004,1028,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90033,1,4,1030,1,诛董卓,武将首领,接受吕布的考验，证明自己的能力,60000004,1029,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90034,1,4,1031,1,诛董卓,黑暗兵法,护送美女进宫，遇到牛辅，击败牛辅,60000004,1030,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90035,1,4,1032,1,诛董卓,智破妖阵,李儒布置了阵法挡住了往宫殿之路，需在时限内击败指定顺序的士兵，并击败李儒，然后进入宫殿。,60000004,1031,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
,90036,1,4,1033,1,诛董卓,枭雄末日,完成进宫殿的目的：解救汉献帝，并击败董卓,60000004,1032,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,-1,-1,,
##Test##,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99999,1,5,1099,1,诛董卓,枭雄末日,完成进宫殿的目的：解救汉献帝，并击败董卓,60000001,1033,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,10,-1,,
